recipe_id,recipe,prep_time,cook_time,total_time,servings,calories,fat,carbs,protein
290,Turducken,1 hr,4 hrs,5 hrs,24,836,53g,5g,79g
291,Cajun Shrimp,5 mins,5 mins,10 mins,4,166,5g,1g,28g
292,Air Fryer Beignets,15 mins,15 mins,30 mins,7,88,2g,16g,2g
293,Deep-Fried Turkey Marinade,10 mins,N/A,8 hrs,15,128,9g,11g,2g
294,Crawfish Fettuccine I,15 mins,1 hr 15 mins,1 hr 30 mins,8,490,23g,49g,24g
295,What Is the Holy Trinity of Cajun Cooking?,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
296,Shrimp and Okra Gumbo,15 mins,2 hrs,2 hrs 15 mins,6,394,21g,18g,35g
297,Cajun Ponchartrain Sauce,10 mins,5 mins,15 mins,2,355,35g,4g,8g
298,Okra Gumbo,15 mins,1 hr,1 hr 15 mins,8,105,6g,12g,3g
299,Cajun-Spiced Sauce,5 mins,40 mins,45 mins,5 (1/4 cup servings),102,8g,7g,3g
300,Creamy Cajun Potato Soup,15 mins,30 mins,45 mins,6,620,43g,43g,16g
301,Creamy Cajun Shrimp and Sausage Pasta,20 mins,25 mins,45 mins,6,408,27g,28g,15g
302,Cajun Shrimp and Sausage Pasta Bake,15 mins,45 mins,1 hr,4,635,39g,35g,35g
303,What's the Difference Between Gumbo and Jambalaya?,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
304,Cajun Pastalaya,15 mins,45 mins,1 hr,8,640,32g,54g,37g
305,Easy Creole Okra and Shrimp,20 mins,55 mins,1 hr 15 mins,8,205,7g,10g,26g
306,Creamy Cajun Chicken Pasta,15 mins,15 mins,30 mins,2,1109,82g,54g,43g
307,Cajun Style Stuffed Peppers,45 mins,15 mins,1 hr,6,307,10g,40g,17g
308,Bubba's Jambalaya,25 mins,40 mins,1 hr 5 mins,12,349,14g,32g,23g
309,Oven Baked Jambalaya,45 mins,2 hrs,2 hrs 45 mins,16,541,26g,48g,29g
310,Nanaimo Bars,30 mins,N/A,30 mins,16,311,20g,34g,3g
311,Boneless Buffalo Wings,10 mins,20 mins,50 mins,6,710,47g,44g,28g
312,Maritime Donair Sauce,5 mins,N/A,1 hr 5 mins,6,112,3g,19g,3g
313,Gramma's Date Squares,25 mins,25 mins,50 mins,12,363,13g,64g,4g
314,Jalapeño Jelly,15 mins,45 mins,1 hr,32,109,0g,28g,0g
315,Real Poutine,10 mins,20 mins,30 mins,4,708,46g,51g,24g
316,Best Fried Walleye,20 mins,15 mins,35 mins,4,592,31g,40g,39g
317,Jamaican Style Curry Chicken,10 mins,45 mins,55 mins,4,210,15g,6g,13g
318,French Canadian Tourtière,40 mins,40 mins,2 hrs,8,405,27g,22g,18g
319,Pure Maple Candy,15 mins,10 mins,1 hr 5 mins,18,113,2g,24g,1g
320,Dash's Donair,30 mins,1 hr 15 mins,1 hr 45 mins,4,489,21g,50g,26g
321,Tourtiere (French Canadian Meat Pie),20 mins,2 hrs,2 hrs 25 mins,8,767,47g,47g,37g
322,Apple Cinnamon Oatmeal Muffins,20 mins,15 mins,35 mins,12,196,7g,30g,4g
323,Canadian Yellow Split Pea Soup with Ham,20 mins,3 hrs 10 mins,3 hrs 30 mins,12,172,0g,32g,12g
324,Sautéed Fiddleheads,15 mins,15 mins,30 mins,6,80,7g,3g,2g
325,Instant Pot Baked Beans,15 mins,1 hr 10 mins,2 hrs 5 mins,12,321,15g,36g,11g
326,Elk Steak Marinade,5 mins,10 mins,4 hrs 15 mins,4,259,13g,3g,33g
327,Newfoundland Jigg's Dinner,30 mins,2 hrs 45 mins,11 hrs 15 mins,6,958,24g,144g,46g
328,The Original Donair From the East Coast of Canada,15 mins,1 hr,9 hrs 45 mins,6,450,14g,57g,22g
329,Crispy Ginger Beef,25 mins,20 mins,45 mins,5,364,14g,45g,15g
330,Christmas Brunch Casserole,20 mins,1 hr 15 mins,9 hrs 35 mins,8,421,33g,17g,14g
331,Donair,20 mins,2 hrs 25 mins,3 hrs 15 mins,6,517,15g,67g,28g
332,Nova Scotian Hodge Podge,25 mins,1 hr 10 mins,1 hr 35 mins,6,241,19g,17g,3g
333,Crispy Fried Smelts,10 mins,10 mins,20 mins,3,440,19g,43g,22g
334,Sex-in-a-Pan,25 mins,25 mins,2 hrs 20 mins,25,251,16g,25g,3g
335,Chômeur's Pudding,15 mins,55 mins,1 hr 10 mins,12,344,9g,66g,3g
336,Tourtière (French Canadian Meat Pie),20 mins,2 hrs 45 mins,3 hrs 15 mins,8,485,32g,31g,18g
337,Old-Time Mincemeat Pie,45 mins,2 hrs 55 mins,7 days 3 hrs 40 mins,8,1106,38g,181g,21g
338,Real French Crêpes,5 mins,15 mins,20 mins,7,110,2g,17g,5g
339,Pork Pie,15 mins,50 mins,1 hr 5 mins,8,712,51g,28g,33g
340,Lobster Rolls,15 mins,N/A,15 mins,4,369,11g,25g,40g
341,Butter Tarts,15 mins,20 mins,35 mins,12,641,32g,86g,8g
342,Cretons,10 mins,1 hr 10 mins,1 hr 20 mins,12,101,6g,4g,8g
343,Brown Sugar Pie I,30 mins,30 mins,1 hr,8,346,9g,63g,4g
344,Canadian Pork Loin Chops,30 mins,20 mins,4 hrs 50 mins,6,344,18g,20g,25g
345,Favorite Fry Bread Tacos,20 mins,20 mins,40 mins,6,696,41g,51g,33g
346,Baked Taco Dip,10 mins,30 mins,40 mins,8,317,24g,7g,19g
347,Garlic Prawns,15 mins,3 mins,1 hr 18 mins,6,231,19g,6g,10g
348,Mom's Nova Scotia Seafood Chowder,25 mins,1 hr 5 mins,1 hr 30 mins,20,525,38g,19g,28g
349,Sesame Jellyfish Salad,10 mins,5 mins,30 mins,4,148,14g,3g,5g
350,Thera's Canadian Fried Dough,30 mins,20 mins,1 hr 55 mins,20,284,10g,46g,6g
351,Canadian Walleye (Pickerel),30 mins,15 mins,45 mins,8,439,16g,33g,38g
352,Miraculous Canadian Sugar Pie,10 mins,50 mins,2 hrs,8,331,8g,62g,4g
353,Baked Chicken In a Sweet BBQ Sauce,10 mins,50 mins,1 hr,4,275,4g,32g,25g
354,Northern Ontario Partridge (Ruffed Grouse),25 mins,1 hr,1 hr 25 mins,4,484,26g,12g,30g
355,Apple Crisp Cups,45 mins,20 mins,1 hr 5 mins,48,109,6g,13g,1g
356,Italian-Style Bruschetta,15 mins,5 mins,1 hr 20 mins,8,234,11g,29g,6g
357,Dave Matthews,5 mins,N/A,5 mins,1,N/A,N/A,N/A,N/A
358,Celery Herb Stuffing and Savory Chicken,20 mins,1 hr 15 mins,1 hr 35 mins,5,599,40g,19g,40g
359,Pouding Chomeur,15 mins,35 mins,1 hr,10,602,33g,76g,5g
360,Perfectly Dry Roasted Chickpeas,5 mins,40 mins,3 hrs 30 mins,4,85,1g,16g,4g
361,Poutine Gravy,25 mins,30 mins,55 mins,8,327,22g,18g,14g
362,Rappie Pie,1 hr,2 hrs 5 mins,3 hrs 5 mins,8,733,9g,104g,58g
363,Maple Butter Tarts,15 mins,20 mins,35 mins,16,258,10g,41g,3g
364,Greek Lemon Chicken and Potato Bake,10 mins,1 hr,1 hr 10 mins,4,551,29g,42g,35g
365,Garlic Dill New Potatoes,10 mins,10 mins,20 mins,5,330,7g,62g,6g
366,Raisin Butter Tarts,N/A,N/A,N/A,14,368,15g,54g,4g
367,Newfoundland-Style Pea Soup,20 mins,50 mins,9 hrs 10 mins,10,201,4g,28g,15g
368,Flapper Pie,30 mins,30 mins,1 hr,6,490,22g,66g,9g
369,Browned Butter Banana Bread,15 mins,50 mins,1 hr 20 mins,6,389,17g,55g,5g
370,Maple Walnut Ice Cream,30 mins,35 mins,4 hrs 5 mins,8,487,33g,46g,7g
371,Sausage and Pepper Penne,15 mins,20 mins,35 mins,6,638,22g,85g,27g
372,The Best Ricotta Pancakes,15 mins,10 mins,25 mins,12,86,4g,8g,5g
373,Canadian Sharp Cheddar Cheese Spread,10 mins,5 mins,8 hrs 45 mins,12,116,9g,5g,5g
374,Chilean-Style Sopaipillas,20 mins,25 mins,1 hr,12,286,14g,36g,5g
375,Chilean Empanada,20 mins,40 mins,1 hr 10 mins,12,530,28g,54g,16g
376,Manjar (Dulce de Leche) from Scratch,5 mins,1 hr 30 mins,1 hr 35 mins,16,85,2g,15g,2g
377,Chilean Dobladitas,25 mins,15 mins,40 mins,8,477,28g,49g,7g
378,Pastel de Papas (Chilean Potato Pie),35 mins,1 hr 5 mins,1 hr 50 mins,8,366,25g,22g,14g
379,Empanadas Fritas de Queso,20 mins,20 mins,55 mins,8,343,14g,39g,15g
380,Leche Asada,15 mins,50 mins,1 hr 5 mins,6,258,9g,25g,10g
381,Pastel de Choclo,20 mins,55 mins,1 hr 15 mins,8,435,21g,38g,27g
382,Porotos Granados (Chilean Bean Stew),15 mins,45 mins,1 hr,6,285,4g,53g,14g
383,Isa's Cola de Mono,N/A,45 mins,45 mins,16,N/A,N/A,N/A,N/A
384,Chilean Alfajores,30 mins,2 hrs 15 mins,2 hrs 55 mins,30,86,4g,11g,2g
385,Cazuela de Vaca (Beef and Pumpkin Stew),30 mins,2 hrs 15 mins,2 hrs 45 mins,6,314,11g,35g,22g
386,Lemon Pisco Sour,2 mins,N/A,2 mins,1,N/A,N/A,N/A,N/A
387,"Gambas Pil Pil (Prawns, Chilean Style)",20 mins,12 mins,32 mins,6,278,19g,4g,19g
388,Chilean Pebre,10 mins,N/A,10 mins,6,106,9g,7g,1g
389,Pisco Sour II,5 mins,N/A,5 mins,8,N/A,N/A,N/A,N/A
390,Ajiaco (Beef and Pepper Stew),25 mins,35 mins,1 hr,4,579,24g,34g,54g
391,Creamy Manjar (Dulce de Leche),5 mins,1 hr 25 mins,1 hr 30 mins,50,110,3g,20g,3g
392,Pebre,10 mins,N/A,25 mins,2,164,14g,10g,2g
393,Chilled Lo Mein Noodles with Szechuan Peppercorns,10 mins,5 mins,15 mins,6,145,10g,10g,3g
394,Sheet Pan General Tso's Chicken and Broccoli,10 mins,20 mins,30 mins,4,553,27g,54g,24g
395,4-Ingredient Orange Chicken,5 mins,20 mins,25 mins,4,615,23g,85g,20g
396,Copycat Din Tai Fung Cucumber Salad,10 mins,N/A,50 mins,6,43,2g,5g,1g
397,Baked Sweet And Sour Chicken,20 mins,30 mins,50 mins,4,823,30g,88g,53g
398,Copycat Panda Express Orange Chicken,20 mins,20 mins,40 mins,6,726,27g,76g,45g
399,Ginger Chicken,15 mins,30 mins,45 mins,4,547,20g,40g,46g
400,Veggie Lo Mein,15 mins,15 mins,30 mins,4,285,11g,38g,10g
401,Lazy Wonton Soup,10 mins,30 mins,40 mins,6,418,21g,25g,30g
402,Sesame Chicken with Broccoli,25 mins,20 mins,45 mins,4,652,32g,31g,60g
403,Crispy Chinese Noodles,5 mins,15 mins,20 mins,8,151,6g,20g,3g
404,Shrimp with Broccoli in Garlic Sauce,15 mins,15 mins,30 mins,4,264,9g,15g,30g
405,Copycat Panda Express Chow Mein,5 mins,6 mins,11 mins,4,492,36g,35g,8g
406,Chicken in Black Bean Sauce,15 mins,15 mins,50 mins,6,266,8g,9g,38g
407,Quick Beef Stir-Fry,15 mins,10 mins,25 mins,4,268,16g,9g,23g
408,10 Tasty Taiwanese Recipes to Make at Home,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
409,Orange Chicken,20 mins,20 mins,2 hrs 50 mins,4,445,11g,69g,18g
410,Perfect Pot Stickers,25 mins,5 mins,1 hr,6,439,19g,46g,20g
411,Pork Dumplings,45 mins,15 mins,1 hr,10,752,29g,81g,39g
412,Super Easy Cabbage Stir Fry,10 mins,5 mins,15 mins,4,65,4g,7g,2g
413,Kung Pao Chicken,30 mins,30 mins,1 hr 30 mins,4,437,23g,25g,34g
414,Honey Walnut Shrimp,15 mins,20 mins,35 mins,4,605,26g,68g,26g
415,Sweet and Sour Pork,30 mins,30 mins,2 hrs,4,663,35g,75g,14g
416,Mongolian Beef and Spring Onions,15 mins,10 mins,35 mins,4,391,12g,55g,18g
417,Chinese Pork Dumplings,20 mins,1 hr,1 hr 20 mins,5,540,25g,50g,28g
418,Char Siu (Chinese BBQ Pork),10 mins,35 mins,2 hrs 45 mins,4,483,9g,54g,44g
419,Grilled Asian Chicken,15 mins,15 mins,45 mins,4,217,8g,11g,26g
420,Andrea's Steamed Buns,40 mins,20 mins,2 hrs 10 mins,24,68,2g,11g,1g
421,Chinese Hand-Pulled Noodles in Beef Broth,30 mins,2 hrs 45 mins,3 hrs 55 mins,8,671,15g,101g,29g
422,Chinese Steamed Buns,30 mins,45 mins,4 hrs 45 mins,24,44,1g,8g,1g
423,Black Pepper Chicken,15 mins,15 mins,45 mins,4,484,20g,44g,32g
424,Chinese Tea Eggs,20 mins,3 hrs,11 hrs 20 mins,8,75,5g,1g,7g
425,Shrimp Egg Foo Young,5 mins,20 mins,25 mins,4,227,12g,15g,15g
426,Chinese Spareribs,5 mins,40 mins,2 hrs 45 mins,2,503,31g,23g,30g
427,General Tso's Chicken,25 mins,25 mins,50 mins,6,634,37g,55g,24g
428,Easy Chinese Corn Soup,5 mins,10 mins,15 mins,4,121,2g,24g,5g
429,Wonton Soup,30 mins,10 mins,1 hr 5 mins,6,195,6g,21g,13g
430,Chinese Pepper Steak,15 mins,15 mins,30 mins,4,312,15g,17g,26g
431,Authentic Chinese Egg Rolls (from a Chinese person),1 hr,30 mins,2 hrs 30 mins,20,169,7g,16g,10g
432,General Tao Chicken,25 mins,25 mins,50 mins,6,522,27g,35g,35g
433,Restaurant Style Egg Drop Soup,10 mins,10 mins,20 mins,4,76,4g,4g,5g
434,Chinese Chicken Wings,5 mins,1 hr 5 mins,9 hrs 10 mins,12,256,9g,28g,16g
435,Moo Shu Chicken,20 mins,30 mins,50 mins,4,319,14g,17g,30g
436,"Velveting Chicken Breast, Chinese Restaurant Style",10 mins,10 mins,50 mins,4,156,6g,2g,23g
437,Easy Chinese Fried Noodles,15 mins,25 mins,40 mins,6,161,13g,7g,4g
438,Chinese Black Bean Sauce,15 mins,20 mins,35 mins,15,211,22g,3g,1g
439,Chicken Fried Rice,5 mins,10 mins,15 mins,4,255,10g,26g,14g
440,Spicy Szechuan Green Beans,15 mins,10 mins,25 mins,2,73,3g,11g,3g
441,Quick Chinese-Style Vermicelli (Rice Noodles),5 mins,10 mins,15 mins,4,271,7g,48g,2g
442,Daddy's Shrimp Toast,35 mins,15 mins,50 mins,8,666,59g,18g,17g
443,Chinese Chicken Fried Rice,25 mins,15 mins,40 mins,7,425,10g,48g,35g
444,Bang Bang Chicken,15 mins,10 mins,40 mins,4,404,21g,27g,27g
445,Shrimp with Lobster Sauce,5 mins,20 mins,25 mins,4,308,20g,5g,26g
446,Pork Lo Mein,15 mins,15 mins,30 mins,4,415,11g,55g,26g
447,Moo Goo Gai Pan,20 mins,15 mins,35 mins,4,307,10g,23g,34g
448,Szechwan Shrimp,10 mins,5 mins,15 mins,4,142,4g,7g,18g
449,Chinese Broccoli,10 mins,10 mins,20 mins,4,101,4g,15g,1g
450,Taiwanese Popcorn Chicken,30 mins,15 mins,55 mins,6,940,92g,8g,22g
451,Crispy Orange Beef,20 mins,50 mins,1 hr 40 mins,6,507,19g,59g,27g
452,Szechuan Beef,10 mins,10 mins,40 mins,6,306,21g,13g,18g
453,"Super-Simple, Super-Spicy Mongolian Beef",15 mins,10 mins,1 hr 25 mins,4,200,12g,8g,15g
454,Broccoli and Carrot Stir Fry,10 mins,16 mins,26 mins,5,90,6g,8g,3g
455,Green Onion Cakes,20 mins,20 mins,1 hr 10 mins,8,49,5g,2g,1g
456,Colombian Lentils,10 mins,50 mins,1 hr,3,201,5g,31g,9g
457,Aji (Colombian Salsa),30 mins,N/A,30 mins,8,52,4g,5g,1g
458,Colombian Ají,10 mins,N/A,10 mins,16,7,0g,2g,0g
459,9 Warm and Crispy Arepa Recipes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
460,Patacones de Colombia (Fried Plantains),10 mins,10 mins,20 mins,3,105,4g,19g,1g
461,Arepas de Huevos,15 mins,15 mins,35 mins,4,2108,225g,21g,8g
462,Colombian Turmada Potatoes (Papa Turmada),40 mins,50 mins,1 hr 30 mins,6,645,26g,77g,27g
463,Colombian Ahuyama Soup,20 mins,20 mins,40 mins,10,88,3g,15g,2g
464,Roscones,30 mins,20 mins,3 hrs 20 mins,5,601,12g,109g,14g
465,Classic Cuban-Style Picadillo,10 mins,20 mins,30 mins,4,350,19g,24g,24g
466,Mojitos by the Pitcher,10 mins,N/A,10 mins,6,160,0g,20g,0g
467,Virgin Strawberry Daiquiri,5 mins,N/A,5 mins,1,287,0g,74g,0g
468,Cuban Ropa Vieja,15 mins,4 hrs,4 hrs 15 mins,6,261,16g,10g,21g
469,Chef John's Cuban Sandwich,15 mins,10 mins,25 mins,2,1473,85g,85g,88g
470,Easy Mojitos,5 mins,N/A,5 mins,1,121,0g,7g,0g
471,Cuban-Style Yuca,10 mins,15 mins,25 mins,6,268,9g,43g,6g
472,Chef John's Cuban Bread,25 mins,20 mins,12 hrs 15 mins,12,172,4g,29g,4g
473,Cuban Mojito,10 mins,N/A,10 mins,2,N/A,N/A,N/A,N/A
474,Cuban-Style Roast Pork,20 mins,2 hrs 30 mins,11 hrs 20 mins,8,265,15g,2g,29g
475,Rabo Encendido (Cuban Oxtail Stew),35 mins,4 hrs 14 mins,16 hrs 49 mins,8,785,42g,23g,73g
476,Classic Cuban Midnight (Medianoche) Sandwich,15 mins,8 mins,23 mins,4,1453,88g,69g,92g
477,Ropa Vieja (Cuban Beef),15 mins,2 hrs 30 mins,11 hrs 30 mins,8,209,13g,10g,12g
478,Instant Pot® Cuban-Style Black Beans,10 mins,1 hr,1 hr 25 mins,8,234,3g,40g,14g
479,Chef John's Grilled Mojo Beef,10 mins,8 mins,2 hrs 18 mins,4,382,23g,16g,29g
480,Slow Cooker Mojo Pork,20 mins,7 hrs 5 mins,13 hrs 25 mins,16,314,27g,3g,15g
481,Cuban Marinated Steak,15 mins,15 mins,1 hr 5 mins,4,245,16g,4g,21g
482,Boliche (Cuban Pot Roast),30 mins,3 hrs,6 hrs 40 mins,8,586,33g,31g,39g
483,Cuban Shredded Pork,25 mins,1 hr 20 mins,2 hrs 15 mins,5,202,11g,8g,19g
484,Mojo Shrimp,30 mins,15 mins,1 hr 45 mins,4,318,22g,12g,20g
485,Arroz con Leche,10 mins,40 mins,50 mins,10,325,6g,59g,8g
486,Best Ever Cuban Sandwich,40 mins,4 hrs,8 hrs 40 mins,4,N/A,N/A,N/A,N/A
487,Easy Cuban Salad,15 mins,N/A,15 mins,8,190,18g,8g,2g
488,Cuban Chicken,15 mins,15 mins,30 mins,4,308,13g,28g,21g
489,Cuban-Style Picadillo,25 mins,1 hr 10 mins,1 hr 35 mins,6,471,22g,30g,26g
490,10 Traditional Cuban Recipes with Big Flavor,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
491,Cuban Black Bean Soup in the Slow Cooker,10 mins,4 hrs 15 mins,4 hrs 25 mins,6,191,3g,33g,9g
492,Havana Slow Cooker Pork Tenderloin,10 mins,6 hrs,6 hrs 10 mins,6,225,5g,7g,36g
493,Cuban Inspired Millet,20 mins,35 mins,55 mins,8,130,3g,23g,3g
494,Patron Mojito,5 mins,N/A,5 mins,1,184,N/A,14g,0g
495,Vaca Frita (Pan-Fried Beef),15 mins,50 mins,1 hr 45 mins,6,221,15g,8g,15g
496,Abuela's Picadillo,15 mins,1 hr 10 mins,1 hr 25 mins,8,378,22g,22g,24g
497,Cuban Beans and Rice,10 mins,50 mins,1 hr,6,258,3g,49g,7g
498,Chicken Ropa Vieja,40 mins,45 mins,1 hr 25 mins,4,291,11g,11g,35g
499,Pacific Cuban Black Beans and Rice,20 mins,1 hr 15 mins,1 hr 35 mins,6,559,16g,85g,20g
500,Cuban Picadillo,25 mins,30 mins,55 mins,8,539,28g,45g,33g
501,Cuban Tamales,1 hr 30 mins,2 hrs 10 mins,6 hrs 40 mins,14,284,15g,24g,11g
502,Cuban Smoked Sausage with Chickpeas,10 mins,1 hr 10 mins,1 hr 20 mins,6,510,28g,40g,25g
503,Chef John's Picadillo,10 mins,45 mins,55 mins,4,485,27g,26g,37g
504,Cuban Black Beans II,15 mins,1 hr 30 mins,9 hrs 45 mins,8,290,8g,44g,14g
505,Mojo Pollo Asada (Roast Chicken),15 mins,1 hr 5 mins,5 hrs 30 mins,8,562,40g,2g,46g
506,Mojito Perfecto,10 mins,N/A,10 mins,2,139,0g,12g,0g
507,Slow Cooker Cuban Pork,30 mins,9 hrs,10 hrs 30 mins,12,298,15g,8g,31g
508,Baked Cuban Chicken,15 mins,50 mins,2 hrs 5 mins,6,270,13g,10g,28g
509,Cucumber Chili Salad,15 mins,N/A,1 hr 15 mins,4,56,4g,7g,1g
510,"Lomo de Res, Cuban-Style Rib-Eye Steaks",10 mins,10 mins,50 mins,4,389,21g,16g,28g
511,Cuban Chicken Sandwich,15 mins,10 mins,2 hrs 25 mins,4,661,19g,64g,54g
512,Avocado-Lime Shrimp Salad (Ensalada de Camarones con Aguacate y Limon),25 mins,N/A,25 mins,6,301,17g,19g,23g
513,Fricase de Pollo,25 mins,15 mins,1 hr,3,454,27g,7g,43g
514,Rabbit Fricassee Cuban-Style,30 mins,45 mins,1 hr 15 mins,6,578,22g,46g,48g
515,Cuban-Style Mojo Shrimp,25 mins,10 mins,50 mins,4,372,25g,19g,20g
516,Toasted Cuban Sandwich,30 mins,15 mins,1 hr 45 mins,8,696,54g,30g,24g
517,Pineapple Mango Daiquiri,5 mins,N/A,5 mins,1,337,0g,41g,1g
518,Shredded Slow Cooker Cuban Beef,30 mins,7 hrs 10 mins,7 hrs 40 mins,4,258,12g,16g,21g
519,Cuban Banana Casserole,10 mins,30 mins,45 mins,8,312,17g,42g,2g
520,Cuban Pork,15 mins,15 mins,30 mins,4,176,7g,2g,26g
521,Sweet Creme de Vie,15 mins,10 mins,6 hrs 25 mins,20,260,4g,28g,3g
522,Bistec Encebollado (Cuban Steak and Onions),10 mins,25 mins,1 hr 35 mins,4,383,20g,13g,36g
523,Guava Cuban Pastry (Pastelito de Guayaba),20 mins,20 mins,40 mins,18,189,11g,22g,2g
524,Smokey Vegetarian Cuban Black Bean Soup,15 mins,1 hr 25 mins,9 hrs 40 mins,8,356,10g,48g,18g
525,Chicharrones de Pollo,20 mins,20 mins,2 hrs 40 mins,6,362,12g,23g,29g
526,Cuban Goulash,20 mins,40 mins,1 hr,6,197,6g,27g,11g
527,Cuban Mini Melts,15 mins,10 mins,25 mins,10,208,11g,16g,12g
528,Mamita's Mojito Scallop Kabobs with Stuffed Tomatoes,20 mins,35 mins,8 hrs 55 mins,2,770,21g,99g,56g
529,Danish Almond Puff,15 mins,1 hr,2 hrs,8,424,26g,42g,6g
530,Danish Pastry Apple Bars,30 mins,1 hr,1 hr 30 mins,12,356,18g,47g,4g
531,Danish Cinnamon Snails,30 mins,10 mins,1 hr 30 mins,15,301,15g,37g,6g
532,Torsk (Scandinavian Cod),10 mins,20 mins,30 mins,6,670,47g,33g,30g
533,Pebber Nodder (Danish Christmas Cookies),15 mins,10 mins,25 mins,100,37,2g,4g,1g
534,Sour Cream Banana Cake,30 mins,30 mins,1 hr,12,802,36g,114g,9g
535,Dansk Aebleskiver (Danish Doughnuts),10 mins,45 mins,55 mins,48,145,11g,10g,3g
536,Scandinavian Christmas Cookies Bring Old-World Tradition to Your Holiday,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
537,Danish Red Cabbage,15 mins,1 hr 5 mins,1 hr 20 mins,6,120,4g,21g,2g
538,Aebleskiver (Danish Pancakes),5 mins,5 mins,10 mins,7,127,5g,18g,4g
539,Mansaka,15 mins,35 mins,50 mins,6,537,27g,39g,35g
540,Danish Peppernut Christmas Cookies (Pebernodder),20 mins,10 mins,30 mins,200,19,1g,2g,0g
541,Fastelavnsboller (Fastelavn Buns),1 hr,15 mins,1 hr 45 mins,18,214,7g,31g,6g
542,Laura's Famous Aebleskiver,10 mins,5 mins,15 mins,4,330,5g,54g,15g
543,Danish Ebelskiver,20 mins,10 mins,30 mins,7,271,12g,32g,9g
544,What Is a Kringle and How Do You Make One?,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
545,Dilled Shrimp (Rejer),15 mins,5 mins,8 hrs 50 mins,8,183,5g,10g,23g
546,Danish Butter Cookies,40 mins,30 mins,2 hrs 35 mins,84,90,5g,10g,1g
547,Danish Spiced Rye Bread (Sigtebrod),20 mins,35 mins,3 hrs 25 mins,16,287,6g,54g,6g
548,Danish Oatmeal Cookies,15 mins,20 mins,50 mins,60,61,5g,5g,1g
549,Apple Danish with Crescent Roll Dough,15 mins,40 mins,55 mins,12,461,29g,46g,6g
550,Danish Rugbrod (Rye Bread) for the Bread Machine,10 mins,3 hrs,3 hrs 10 mins,24,81,1g,17g,2g
551,Danish Oven Pancake (Aeggekage),20 mins,20 mins,1 hr 10 mins,8,361,20g,34g,12g
552,Danish Chicken Liver Pate,25 mins,50 mins,1 hr 15 mins,12,168,14g,4g,8g
553,Speculaas Cookies or Spicy Sinterklass Cakes,15 mins,15 mins,1 hr 30 mins,30,97,5g,11g,1g
554,Danish Cabbage,10 mins,24 mins,34 mins,6,126,8g,12g,4g
555,Havregrynskugler (Danish Oat Balls),30 mins,N/A,1 hr 30 mins,20,92,4g,13g,2g
556,Sugared Danish Butter Cookies with Pecan Halves,1 hr,25 mins,1 day 1 hr 45 mins,176,38,2g,4g,0g
557,Potato Soup with Gravlax Rosettes,30 mins,20 mins,55 mins,4,331,18g,34g,12g
558,Apple Danish Bars,30 mins,15 mins,1 hr 15 mins,18,250,13g,31g,3g
559,Danish Christmas Red Cabbage,30 mins,1 hr,1 hr 30 mins,12,144,0g,37g,1g
560,Grandma's Aebleskevers,15 mins,20 mins,35 mins,6,298,15g,35g,7g
561,Banket,25 mins,15 mins,40 mins,24,202,12g,21g,3g
562,Poffertjes (Dutch Mini Pancakes),5 mins,10 mins,15 mins,12,105,1g,19g,4g
563,Dutch Croquetten,15 mins,10 mins,25 mins,8,339,18g,25g,19g
564,Gehakt Ballen (Dutch Meatballs),20 mins,1 hr 5 mins,1 hr 25 mins,4,524,37g,24g,23g
565,Jan Hagel Cookies,20 mins,30 mins,50 mins,24,157,10g,17g,2g
566,Hachee (Dutch Beef Stew),10 mins,1 hr 30 mins,1 hr 40 mins,4,384,23g,25g,21g
567,Dutch Bokkenpootjes - Goat's Feet,40 mins,15 mins,2 hrs 25 mins,12,452,15g,63g,23g
568,Speculaas Cookies,20 mins,10 mins,30 mins,24,163,8g,21g,2g
569,Lahmacun Turkish Pizza,2 hrs,20 mins,11 hrs 20 mins,10,480,20g,58g,17g
570,Dutch Cookies,N/A,N/A,N/A,40,107,6g,13g,1g
571,Holland Butter Cookies,15 mins,10 mins,25 mins,72,78,5g,7g,1g
572,Stroopwafels with Treacle,45 mins,1 mins,1 hr 31 mins,12,523,20g,81g,6g
573,Holland Boterkoek,10 mins,40 mins,50 mins,12,219,11g,29g,2g
574,Speculaas Cookies or Spicy Sinterklass Cakes,15 mins,15 mins,1 hr 30 mins,30,97,5g,11g,1g
575,Stroopwaffels I,N/A,N/A,N/A,12,602,32g,75g,6g
576,Dutch Boterkoek,15 mins,35 mins,1 hr 50 mins,16,236,15g,25g,2g
577,Dutch Apple Pie with Oatmeal Streusel,15 mins,45 mins,1 hr,8,441,20g,63g,4g
578,Botercake (Butter Cake),N/A,N/A,N/A,15,276,16g,31g,4g
579,Appeltaart (Dutch Apple Tart),25 mins,1 hr,1 hr 25 mins,8,445,19g,64g,6g
580,Stroopwaffels II,10 mins,20 mins,30 mins,24,126,4g,20g,1g
581,Pandan Chiffon Cake,15 mins,45 mins,1 hr,8,227,12g,24g,6g
